customer_id,first_name,last_name,email,phone_number,registration_date
C00001,FirstName1,LastName1,customer1@example.com,+1-800-3791907,1666754995960
C00002,FirstName2,LastName2,customer2@example.com,+1-800-8196562,1703302195960
C00003,FirstName3,LastName3,customer3@example.com,+1-800-5332709,1450495795960
C00004,FirstName4,LastName4,customer4@example.com,+1-800-2178510,1546486195960
C00005,FirstName5,LastName5,customer5@example.com,+1-800-1389294,1695007795960
C00006,FirstName6,LastName6,customer6@example.com,+1-800-9145028,1629084595960
C00007,FirstName7,LastName7,customer7@example.com,+1-800-9163897,1569209395960
C00008,FirstName8,LastName8,customer8@example.com,+1-800-1055426,1468294195960
C00009,FirstName9,LastName9,customer9@example.com,+1-800-6838422,1539833395960
C00010,FirstName10,LastName10,customer10@example.com,+1-800-5162330,1651721395960
C00011,FirstName11,LastName11,customer11@example.com,+1-800-3957039,1629343795960
C00012,FirstName12,LastName12,customer12@example.com,+1-800-3208274,1499657395960
C00013,FirstName13,LastName13,customer13@example.com,+1-800-6960598,1494473395960
C00014,FirstName14,LastName14,customer14@example.com,+1-800-3697257,1685330995960
C00015,FirstName15,LastName15,customer15@example.com,+1-800-1636505,1605670195960
C00016,FirstName16,LastName16,customer16@example.com,+1-800-1249849,1439350195960
C00017,FirstName17,LastName17,customer17@example.com,+1-800-6219444,1445225395960
C00018,FirstName18,LastName18,customer18@example.com,+1-800-4965040,1668569395960
C00019,FirstName19,LastName19,customer19@example.com,+1-800-5681019,1635046195960
C00020,FirstName20,LastName20,customer20@example.com,+1-800-3712813,1630121395960
C00021,FirstName21,LastName21,customer21@example.com,+1-800-1913497,1583206195960
C00022,FirstName22,LastName22,customer22@example.com,+1-800-2721217,1621567795960
C00023,FirstName23,LastName23,customer23@example.com,+1-800-5542314,1688786995960
C00024,FirstName24,LastName24,customer24@example.com,+1-800-9070610,1589081395960
C00025,FirstName25,LastName25,customer25@example.com,+1-800-6975318,1641526195960
C00026,FirstName26,LastName26,customer26@example.com,+1-800-7363414,1665026995960
C00027,FirstName27,LastName27,customer27@example.com,+1-800-2247796,1501903795960
C00028,FirstName28,LastName28,customer28@example.com,+1-800-3284292,1445484595960
C00029,FirstName29,LastName29,customer29@example.com,+1-800-4486508,1490585395960
C00030,FirstName30,LastName30,customer30@example.com,+1-800-4151111,1662002995960
C00031,FirstName31,LastName31,customer31@example.com,+1-800-1234780,1528082995960
C00032,FirstName32,LastName32,customer32@example.com,+1-800-6954675,1585452595960
C00033,FirstName33,LastName33,customer33@example.com,+1-800-1497549,1637206195960
C00034,FirstName34,LastName34,customer34@example.com,+1-800-5330154,1503545395960
C00035,FirstName35,LastName35,customer35@example.com,+1-800-9176634,1578540595960
C00036,FirstName36,LastName36,customer36@example.com,+1-800-9907220,1593660595960
C00037,FirstName37,LastName37,customer37@example.com,+1-800-8624715,1507778995960
C00038,FirstName38,LastName38,customer38@example.com,+1-800-2976373,1475119795960
C00039,FirstName39,LastName39,customer39@example.com,+1-800-1907242,1657596595960
C00040,FirstName40,LastName40,customer40@example.com,+1-800-1628868,1675740595960
C00041,FirstName41,LastName41,customer41@example.com,+1-800-3869238,1687404595960
C00042,FirstName42,LastName42,customer42@example.com,+1-800-8243227,1528860595960
C00043,FirstName43,LastName43,customer43@example.com,+1-800-7829505,1566876595960
C00044,FirstName44,LastName44,customer44@example.com,+1-800-9634657,1671161395960
C00045,FirstName45,LastName45,customer45@example.com,+1-800-3486681,1702351795960
C00046,FirstName46,LastName46,customer46@example.com,+1-800-3275730,1703647795960
C00047,FirstName47,LastName47,customer47@example.com,+1-800-6528642,1524540595960
C00048,FirstName48,LastName48,customer48@example.com,+1-800-7378061,1722569395960
C00049,FirstName49,LastName49,customer49@example.com,+1-800-4708913,1554002995960
C00050,FirstName50,LastName50,customer50@example.com,+1-800-9675601,1439695795960
C00051,FirstName51,LastName51,customer51@example.com,+1-800-8285971,1648610995960
C00052,FirstName52,LastName52,customer52@example.com,+1-800-1777446,1709177395960
C00053,FirstName53,LastName53,customer53@example.com,+1-800-4097043,1515295795960
C00054,FirstName54,LastName54,customer54@example.com,+1-800-1713545,1584242995960
C00055,FirstName55,LastName55,customer55@example.com,+1-800-7044358,1696476595960
C00056,FirstName56,LastName56,customer56@example.com,+1-800-7098924,1675654195960
C00057,FirstName57,LastName57,customer57@example.com,+1-800-2965426,1696130995960
C00058,FirstName58,LastName58,customer58@example.com,+1-800-7225657,1676431795960
C00059,FirstName59,LastName59,customer59@example.com,+1-800-4994103,1637119795960
C00060,FirstName60,LastName60,customer60@example.com,+1-800-5125301,1480044595960
C00061,FirstName61,LastName61,customer61@example.com,+1-800-2651399,1472527795960
C00062,FirstName62,LastName62,customer62@example.com,+1-800-3885889,1704770995960
C00063,FirstName63,LastName63,customer63@example.com,+1-800-2980841,1561001395960
C00064,FirstName64,LastName64,customer64@example.com,+1-800-7182485,1684898995960
C00065,FirstName65,LastName65,customer65@example.com,+1-800-1349950,1704338995960
C00066,FirstName66,LastName66,customer66@example.com,+1-800-1980048,1583810995960
C00067,FirstName67,LastName67,customer67@example.com,+1-800-4197728,1508988595960
C00068,FirstName68,LastName68,customer68@example.com,+1-800-3375186,1724642995960
C00069,FirstName69,LastName69,customer69@example.com,+1-800-3961186,1678073395960
C00070,FirstName70,LastName70,customer70@example.com,+1-800-8989091,1471318195960
C00071,FirstName71,LastName71,customer71@example.com,+1-800-6989396,1428982195960
C00072,FirstName72,LastName72,customer72@example.com,+1-800-3871680,1679974195960
C00073,FirstName73,LastName73,customer73@example.com,+1-800-9842740,1700018995960
C00074,FirstName74,LastName74,customer74@example.com,+1-800-5598060,1561174195960
C00075,FirstName75,LastName75,customer75@example.com,+1-800-3984218,1572146995960
C00076,FirstName76,LastName76,customer76@example.com,+1-800-8725395,1726198195960
C00077,FirstName77,LastName77,customer77@example.com,+1-800-3170446,1444015795960
C00078,FirstName78,LastName78,customer78@example.com,+1-800-3618188,1639366195960
C00079,FirstName79,LastName79,customer79@example.com,+1-800-2367798,1683257395960
C00080,FirstName80,LastName80,customer80@example.com,+1-800-2523483,1642476595960
C00081,FirstName81,LastName81,customer81@example.com,+1-800-6499179,1433474995960
C00082,FirstName82,LastName82,customer82@example.com,+1-800-3895014,1517714995960
C00083,FirstName83,LastName83,customer83@example.com,+1-800-6285427,1526959795960
C00084,FirstName84,LastName84,customer84@example.com,+1-800-7017569,1726630195960
C00085,FirstName85,LastName85,customer85@example.com,+1-800-7229945,1425353395960
C00086,FirstName86,LastName86,customer86@example.com,+1-800-7226032,1552015795960
C00087,FirstName87,LastName87,customer87@example.com,+1-800-4340016,1721446195960
C00088,FirstName88,LastName88,customer88@example.com,+1-800-1284038,1478143795960
C00089,FirstName89,LastName89,customer89@example.com,+1-800-1135762,1431574195960
C00090,FirstName90,LastName90,customer90@example.com,+1-800-5230770,1416108595960
C00091,FirstName91,LastName91,customer91@example.com,+1-800-6091926,1491449395960
C00092,FirstName92,LastName92,customer92@example.com,+1-800-9407662,1470367795960
C00093,FirstName93,LastName93,customer93@example.com,+1-800-1521742,1531452595960
C00094,FirstName94,LastName94,customer94@example.com,+1-800-7535739,1655868595960
C00095,FirstName95,LastName95,customer95@example.com,+1-800-9509509,1426390195960
C00096,FirstName96,LastName96,customer96@example.com,+1-800-4700310,1623382195960
C00097,FirstName97,LastName97,customer97@example.com,+1-800-2845553,1620703795960
C00098,FirstName98,LastName98,customer98@example.com,+1-800-3376760,1640316595960
C00099,FirstName99,LastName99,customer99@example.com,+1-800-3565607,1645759795960
C00100,FirstName100,LastName100,customer100@example.com,+1-800-6511404,1516073395960
